iter	Passed	Remaining
0	4	46030
1	9	46438
2	12	41200
3	13	33169
4	14	29566
5	18	31328
6	22	32149
7	23	29599
8	28	31603
9	30	30111
10	34	31035
11	38	31880
12	42	32834
13	47	34101
14	51	34393
15	56	35276
16	57	33966
17	63	34960
18	67	35452
19	71	35684
20	72	34639
21	74	33920
22	79	34406
23	80	33392
24	84	33685
25	88	34052
26	92	34250
27	97	34604
28	101	34921
29	106	35349
30	110	35609
31	111	34702
32	116	35297
33	121	35531
34	125	35660
35	129	35946
36	130	35145
37	132	34669
38	135	34489
39	139	34754
40	144	34987
41	147	35083
42	152	35228
43	152	34616
44	157	34801
45	158	34234
46	158	33640
47	162	33696
48	166	33860
49	170	34013
50	175	34199
51	179	34352
52	184	34621
53	188	34787
54	192	34847
55	197	35042
56	201	35188
57	202	34754
58	204	34412
59	208	34538
60	210	34228
61	214	34320
62	218	34463
63	222	34588
64	227	34833
65	228	34400
66	233	34549
67	236	34601
68	241	34777
69	245	34858
70	250	34967
71	254	35045
72	258	35198
73	263	35293
74	267	35390
75	271	35423
76	276	35582
77	280	35669
78	284	35785
79	289	35898
80	294	36034
81	298	36131
82	303	36223
83	307	36274
84	312	36398
85	316	36435
86	319	36385
87	323	36462
88	328	36580
89	328	36221
90	333	36315
91	334	36074
92	340	36269
93	344	36340
94	348	36359
95	349	36064
96	354	36165
97	355	35942
98	357	35751
99	358	35468
100	362	35538
101	367	35635
102	372	35793
103	377	35890
104	382	35999
105	387	36147
106	391	36221
107	396	36300
108	397	36034
109	402	36182
110	407	36273
111	411	36338
112	416	36409
113	420	36446
114	424	36463
115	428	36526
116	433	36611
117	437	36653
118	441	36684
119	446	36720
120	446	36488
121	451	36524
122	455	36538
123	457	36439
124	461	36479
125	466	36539
126	470	36589
127	475	36662
128	477	36511
129	481	36559
130	485	36593
131	490	36663
132	494	36695
133	495	36470
134	499	36488
135	503	36500
136	504	36326
137	508	36358
138	513	36425
139	514	36220
140	518	36281
141	519	36083
142	523	36093
143	528	36160
144	532	36179
145	533	35981
146	537	36049
147	542	36098
148	546	36117
149	550	36162
150	552	36043
151	553	35865
152	558	35917
153	562	35961
154	563	35801
155	568	35850
156	572	35862
157	576	35889
158	576	35691
159	580	35699
160	582	35576
161	586	35615
162	590	35660
163	593	35602
164	597	35633
165	602	35672
166	602	35492
167	607	35538
168	611	35574
169	612	35419
170	616	35447
171	621	35510
